category,dataset_name,provider,url,license_or_terms,spatial_granularity,temporal_coverage,file_or_api_format,access_difficulty,reliability_grade,fisher_relevance_score,classification,risk_notes
Fermentation/microbiome,Sourdough starter microbiomes,eLife / Landis et al.,https://elifesciences.org/articles/61644,Open article/source data links,500 samples from four continents; sample metadata to verify,Published 2021,Article + XLSX source data,Easy-medium,A,3,Useful secondary,Great fermentation case study; paper reports little evidence for strong biogeographic patterns.
Fermentation/microbiome,cFMD curatedFoodMetagenomicData,Cell / Carlino et al.,https://www.sciencedirect.com/science/article/pii/S009286742400833X,Open-access article; data package access to verify,Food product/sample metadata; geography unclear until accessed,Published 2024,R/data resource/article,Medium,A-,4,Experimental/high-risk,Potential rich food microbiome source; may lack clean geocodes.
Fermentation/microbiome,FoodMicroDB,Beijing Institute / Li et al.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12806411/,Free access stated; terms to verify,Food microbiome composition; food/sample metadata,2024/2025 database article,Database/web,Medium,B+,4,Experimental/high-risk,Could strengthen fermentation sidebar if metadata is analyzable.
Fermentation/microbiome,Fermented Foods Microbial Genomes Database,Zenodo / KBase / GitHub metadata,https://zenodo.org/records/15588452,Zenodo record; license must be checked,Genomes from fermented foods; geography unclear,2025 release,FASTA/metadata likely,Medium,B+,3,Experimental/high-risk,Large but genome-centered; may not map cleanly to places.
Fermentation/microbiome,ODFM omics data resource,Scientific Data / Whon et al.,https://www.nature.com/articles/s41597-021-00895-x,Open article; database terms to verify,Food ecosystem/genome data,Published 2021,Database/article,Medium,B+,3,Experimental/high-risk,Useful scientific background; geospatial utility uncertain.
Migration,UN DESA International Migrant Stock 2024,United Nations DESA Population Division,https://www.un.org/development/desa/pd/content/international-migrant-stock,Official UN data,233 countries/areas; origin/destination matrices,1990–2024,XLSX downloads,Easy,A,5,Core reliable,Best official bilateral migration covariate.
Trade,UN Comtrade,United Nations Statistics Division,https://comtrade.un.org/,Official data; API/usage limits; registration may help,Reporter-partner commodity flows; global,1962 onward in UNdata snippet; current platform active,Web/API/CSV,Medium,A,5,Core reliable,Bilateral food/spice/agriculture trade flow data by HS code.
Agriculture/food supply,FAOSTAT,Food and Agriculture Organization of the UN,https://www.fao.org/faostat/,Free official FAO data,245+ countries/territories; country/commodity,1961 onward,API/CSV,Easy,A,5,Core reliable,Crop/livestock/food balance data to control agricultural availability.
Trade/food categories,UNCTAD food by processing category,UNCTADstat,https://unctadstat.unctad.org/datacentre/reportInfo/US.TradeFoodProcCat_Cat_RCA,Official UNCTAD data,Country/category trade,Current/historical,Data portal,Medium,A-,3,Useful secondary,Good for processed food trade summary if Comtrade HS detail is too large.
Climate,WorldClim 2.1 historical climate,WorldClim,https://www.worldclim.org/data/worldclim21.html,Research-use terms; cite WorldClim,Raster grids global; 30s–10m,1970–2000 normals,GeoTIFF ZIP,Medium,A-,4,Core reliable optional,"Climate similarity control; large downloads, use aggregated/country summary."
Agriculture raster,EarthStat harvested area/yield,EarthStat / UMN IonE / UBC,https://www.earthstat.org/,Public GIS data; license/citation to verify,Global gridded crop areas/yields; 175 crops,Circa 2000,GeoTIFF large,Medium-hard,A-,4,Useful secondary,High-value crop geography but big files.
Agriculture raster,SPAM / MapSPAM,IFPRI / CGIAR,https://www.mapspam.info/,Open-access data; cite/terms to verify,"Global gridded crop production, management systems","2000, 2005, 2010, 2020 v2 noted",CSV/DBF/GeoTIFF,Medium,A-,4,Useful secondary,Strong spatial crop availability layer; Run 2 should use only selected crops.
Agriculture raster,MIRCA2000 / MIRCA-OS,FAO/HydroShare/Nature Scientific Data,https://www.fao.org/land-water/land/land-governance/land-resources-planning-toolbox/category/details/en/c/1032166/,Open/research data; terms to verify,"5 arc-minute crop areas, irrigated/rainfed",2000 or 2000–2015 OS update,Raster/data archive,Medium-hard,A-,3,Useful secondary,"Good for crop seasonality and irrigation context, but likely beyond Run 2 core."
Agriculture suitability,GAEZ,FAO / IIASA,https://gaez.fao.org/,Portal terms/disclaimer; cite required,Global agro-ecological zones; admin/raster,v4/v5 current/future scenarios,Portal/raster/tabular,Medium,A-,3,Useful secondary,Suitability controls if crop availability is part of argument.
Base GIS,Natural Earth,Natural Earth / NACIS volunteers,https://www.naturalearthdata.com/,Public domain,Global country/admin vector/raster,Current versions,Shapefile/GeoPackage/GeoJSON mirrors,Easy,A,5,Core reliable,Best base layer for global country-level StoryMap/report.
Base GIS,GADM,GADM,https://gadm.org/data.html,Academic/noncommercial free; redistribution/commercial restrictions,Global administrative boundaries all countries,v4.1/current site,GeoPackage/shapefile/R,Easy-medium,B+,3,Useful secondary,Use for subnational if scope narrows; license not ideal for broad redistribution.
Gazetteer/geocoding,GeoNames,GeoNames,https://www.geonames.org/,Free download; attribution? terms to verify,11M+ placenames; country tables,Active,Text dumps/API,Easy,B+,3,Useful secondary,Useful for geocoding dishes/places and country metadata.
Distance/culture covariates,CEPII GeoDist,CEPII,https://www.cepii.fr/cepii/en/bdd_modele/bdd_modele_item.asp?id=6,Research data; cite Mayer & Zignago,225 countries; dyadic distances; language/colonial/contiguity,Static dataset,CSV/Stata/R packages,Easy,A,5,Core reliable,Key dyadic geography/culture covariates for residual model.
Distance/trade covariates,CEPII Gravity,CEPII,https://www.cepii.fr/cepii/en/bdd_modele/bdd_modele.asp,Research data; terms to verify,Dyadic gravity variables,Historical/current versions,CSV/Stata,Medium,A-,4,Useful secondary,May simplify trade/gravity modeling.
Agriculture raster,CROPGRIDS 2020,Scientific Data / crop mapping community,https://www.nature.com/articles/s41597-024-03247-7,Open article/data terms to verify,0.05° global area data for 173 crops,2020,Raster/data archive,Medium-hard,A-,3,Useful secondary,Recent crop-geography alternative to EarthStat/SPAM.
Dietary intake,Global Dietary Database,Tufts Friedman School,https://globaldietarydatabase.org/,Account/terms; some estimates available,Country/year/age/sex/urbanicity dietary intake,1990–2018 estimates in Nature Food paper,Data portal/downloads,Medium,A-,2,Useful secondary,"Dietary intake, not cuisine, but helpful public-health context."
